ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-fuime-rib-1-biglexstat,abui1241-fuime-rib-1,rib-1-0,h e a k a f a t a - - - - -,biglexstat
abui1241-fuime-heart-1-biglexstat,abui1241-fuime-heart-1,heart-1-0,t e b i k e m a ŋ,biglexstat
abui1241-fuime-salt-1-biglexstat,abui1241-fuime-salt-1,salt-1-0,a t i,biglexstat
abui1241-fuime-wound-1-biglexstat,abui1241-fuime-wound-1,wound-1-0,n a m u,biglexstat
abui1241-fuime-head-1-biglexstat,abui1241-fuime-head-1,head-1-0,- - - - k a i,biglexstat
abui1241-fuime-child-1-biglexstat,abui1241-fuime-child-1,child-2-1,n e + w i,biglexstat
abui1241-fuime-tongue-1-biglexstat,abui1241-fuime-tongue-1,tongue-1-0,t a l - i f i,biglexstat
abui1241-fuime-scabies-1-biglexstat,abui1241-fuime-scabies-1,scabies-1-2,k a f i s i ŋ,biglexstat
abui1241-fuime-ear-1-biglexstat,abui1241-fuime-ear-1,ear-1-0,t a w e - i _ a t a,biglexstat
abui1241-fuime-person-1-biglexstat,abui1241-fuime-person-1,person-1-0,- a - m a,biglexstat
abui1241-fuime-millet-1-biglexstat,abui1241-fuime-millet-1,millet-1-0,k a l a - -,biglexstat
abui1241-fuime-fever-1-biglexstat,abui1241-fuime-fever-1,fever-1-0,k a m u r a,biglexstat
abui1241-fuime-mouth-1-biglexstat,abui1241-fuime-mouth-1,mouth-1-0,t a w aː b a k,biglexstat
abui1241-fuime-back-1-biglexstat,abui1241-fuime-back-1,back-1-1,t e u i,biglexstat
abui1241-fuime-arm-1-biglexstat,abui1241-fuime-arm-1,arm-1-0,t a t a ŋ,biglexstat
abui1241-fuime-navel-1-biglexstat,abui1241-fuime-navel-1,navel-1-0,t a b i k - - - e,biglexstat
abui1241-fuime-bean-1-biglexstat,abui1241-fuime-bean-1,bean-1-0,t a k o i -,biglexstat
abui1241-fuime-left_side-1-biglexstat,abui1241-fuime-left_side-1,left_side-1-0,t e i b i k a -,biglexstat
abui1241-fuime-jackfruit-1-biglexstat,abui1241-fuime-jackfruit-1,jackfruit-1-0,s o - ŋ -,biglexstat
abui1241-fuime-blood-1-biglexstat,abui1241-fuime-blood-1,blood-1-0,- w e -,biglexstat
abui1241-fuime-older_sibling-1-biglexstat,abui1241-fuime-older_sibling-1,older_sibling-1-0,- - n a n a,biglexstat
abui1241-fuime-father-1-biglexstat,abui1241-fuime-father-1,father-1-1,- m a - m - - a,biglexstat
abui1241-fuime-excrement-1-biglexstat,abui1241-fuime-excrement-1,excrement-1-0,a s i,biglexstat
abui1241-fuime-vein-1-biglexstat,abui1241-fuime-vein-1,vein-1-0,t e a i -,biglexstat
abui1241-fuime-tinea-1-biglexstat,abui1241-fuime-tinea-1,tinea-1-3,k a f i s i ŋ,biglexstat
abui1241-fuime-honey-1-biglexstat,abui1241-fuime-honey-1,honey-1-0,n a - - w aː ŋ - - - -,biglexstat
abui1241-fuime-nose-1-biglexstat,abui1241-fuime-nose-1,nose-1-0,t a m - i n - i,biglexstat
abui1241-fuime-breast-1-biglexstat,abui1241-fuime-breast-1,breast-1-1,t e k o d a ŋ,biglexstat
abui1241-fuime-fat-1-biglexstat,abui1241-fuime-fat-1,fat-1-0,h e t a m a d a,biglexstat
abui1241-fuime-milk-1-biglexstat,abui1241-fuime-milk-1,milk-1-2,t i k e,biglexstat
abui1241-fuime-sugarcane-1-biglexstat,abui1241-fuime-sugarcane-1,sugarcane-1-0,- f a -,biglexstat
abui1241-fuime-gum_tree-1-biglexstat,abui1241-fuime-gum_tree-1,gum_tree-1-0,r a u,biglexstat
abui1241-fuime-hair-1-biglexstat,abui1241-fuime-hair-1,hair-1-0,- - - - k a i _ b a t a,biglexstat
abui1241-fuime-mother-1-biglexstat,abui1241-fuime-mother-1,mother-1-0,n i j a -,biglexstat
abui1241-fuime-shoulder-1-biglexstat,abui1241-fuime-shoulder-1,shoulder-1-0,t a b a ŋ,biglexstat
abui1241-fuime-bone-1-biglexstat,abui1241-fuime-bone-1,bone-1-0,h e t a - i p a -,biglexstat
abui1241-fuime-knee-1-biglexstat,abui1241-fuime-knee-1,knee-1-3,t a b a l a _ b u k u,biglexstat
abui1241-fuime-banana-2-biglexstat,abui1241-fuime-banana-2,banana-1-0,m u s a,biglexstat
abui1241-fuime-man-1-biglexstat,abui1241-fuime-man-1,man-1-1,n e - ŋ,biglexstat
abui1241-fuime-teeth-1-biglexstat,abui1241-fuime-teeth-1,teeth-1-0,t a w e i t i -,biglexstat
abui1241-fuime-thick-1-biglexstat,abui1241-fuime-thick-1,thick-1-0,t aː p a t i,biglexstat
abui1241-fuime-clean-1-biglexstat,abui1241-fuime-clean-1,clean-1-0,s a n i,biglexstat
abui1241-fuime-dark-1-biglexstat,abui1241-fuime-dark-1,dark-1-0,- a k u n i,biglexstat
abui1241-fuime-wet-1-biglexstat,abui1241-fuime-wet-1,wet-1-6,a l i n a,biglexstat
abui1241-fuime-snake-1-biglexstat,abui1241-fuime-snake-1,snake-2-0,m o n,biglexstat
abui1241-fuime-flat-1-biglexstat,abui1241-fuime-flat-1,flat-1-0,f u i - - - - -,biglexstat
