ID,Form_ID,Cognateset_ID,Alignment,Source
blag1240-kulij-fingernail-1-biglexstat,blag1240-kulij-fingernail-1,fingernail-1-0,t a t a ŋ _ k - r u s i ŋ,biglexstat
blag1240-kulij-name-1-biglexstat,blag1240-kulij-name-1,name-1-0,- t e nː - - e,biglexstat
blag1240-kulij-to_die-1-biglexstat,blag1240-kulij-to_die-1,to_die-1-0,- m i n a,biglexstat
blag1240-kulij-smooth-1-biglexstat,blag1240-kulij-smooth-1,smooth-1-0,d u l - a,biglexstat
blag1240-kulij-to_eat-1-biglexstat,blag1240-kulij-to_eat-1,to_eat-1-0,- n a - -,biglexstat
blag1240-kulij-to_hear-1-biglexstat,blag1240-kulij-to_hear-1,to_hear-2-4,v e ŋ _ m e,biglexstat
blag1240-kulij-wide-1-biglexstat,blag1240-kulij-wide-1,wide-1-0,l a r a,biglexstat
blag1240-kulij-to_spit-1-biglexstat,blag1240-kulij-to_spit-1,to_spit-1-0,p u r u ŋ -,biglexstat
blag1240-kulij-to_steal-1-biglexstat,blag1240-kulij-to_steal-1,to_steal-2-2,t a v i,biglexstat
blag1240-kulij-to_grow-1-biglexstat,blag1240-kulij-to_grow-1,to_grow-1-0,t a pː a,biglexstat
blag1240-nule-star-1-biglexstat,blag1240-nule-star-1,star-1-0,- iː - - - d - - - - - -,biglexstat
blag1240-nule-sun-1-biglexstat,blag1240-nule-sun-1,sun-1-0,v e d -,biglexstat
blag1240-nule-fog-1-biglexstat,blag1240-nule-fog-1,fog-2-3,b i l _ m o r o,biglexstat
blag1240-nule-sea-1-biglexstat,blag1240-nule-sea-1,sea-1-0,t - - a ŋ - - - - - -,biglexstat
blag1240-nule-coconut-1-biglexstat,blag1240-nule-coconut-1,coconut-1-0,v e t - -,biglexstat
blag1240-nule-betel_nut_areca-1-biglexstat,blag1240-nule-betel_nut_areca-1,betel_nut_areca-1-0,b u -,biglexstat
blag1240-nule-bamboo-2-biglexstat,blag1240-nule-bamboo-2,bamboo-2-2,p e t u ŋ - - - - - - -,biglexstat
blag1240-nule-lips-1-biglexstat,blag1240-nule-lips-1,lips-1-4,t i b a l,biglexstat
blag1240-nule-ear-1-biglexstat,blag1240-nule-ear-1,ear-1-0,t ə v e l i - - - -,biglexstat
blag1240-nule-fat-1-biglexstat,blag1240-nule-fat-1,fat-1-0,- - t ə m a - -,biglexstat
blag1240-nule-father-1-biglexstat,blag1240-nule-father-1,father-1-0,n i m a ŋ - -,biglexstat
blag1240-nule-bedbug-1-biglexstat,blag1240-nule-bedbug-1,bedbug-1-0,- - - t e m e - - - -,biglexstat
blag1240-nule-name-1-biglexstat,blag1240-nule-name-1,name-1-0,- t e n - - e,biglexstat
blag1240-nule-husband-1-biglexstat,blag1240-nule-husband-1,husband-2-0,t e n i - ŋ,biglexstat
blag1240-nule-mother-1-biglexstat,blag1240-nule-mother-1,mother-1-0,n i v a -,biglexstat
blag1240-nule-short-1-biglexstat,blag1240-nule-short-1,short-2-2,n e t u k a ŋ,biglexstat
blag1240-nule-hot-1-biglexstat,blag1240-nule-hot-1,hot-1-0,- - b a r a -,biglexstat
blag1240-nule-wide-1-biglexstat,blag1240-nule-wide-1,wide-1-0,l a r a,biglexstat
blag1240-nule-dry-1-biglexstat,blag1240-nule-dry-1,dry-1-0,t a - - t a,biglexstat
blag1240-nule-deaf-1-biglexstat,blag1240-nule-deaf-1,deaf-2-2,k - m u k e,biglexstat
blag1240-nule-to_eat-1-biglexstat,blag1240-nule-to_eat-1,to_eat-3-0,n a - - _ n a,biglexstat
blag1240-nule-to_come-1-biglexstat,blag1240-nule-to_come-1,to_come-1-0,m a - -,biglexstat
blag1240-nule-to_spit-1-biglexstat,blag1240-nule-to_spit-1,to_spit-1-0,p u r u ŋ -,biglexstat
blag1240-tuntu-soil-1-biglexstat,blag1240-tuntu-soil-1,soil-2-3,m e x e,biglexstat
blag1240-nule-one-1-biglexstat,blag1240-nule-one-1,one-1-0,- n u - -,biglexstat
blag1240-tuntu-star-1-biglexstat,blag1240-tuntu-star-1,star-1-0,- i - - - d - - - - - -,biglexstat
blag1240-nule-short-2-biglexstat,blag1240-nule-short-2,short-2-2,- - t u k a ŋ,biglexstat
blag1240-tuntu-stone-2-biglexstat,blag1240-tuntu-stone-2,stone-1-3,w a r,biglexstat
blag1240-nule-ten-1-biglexstat,blag1240-nule-ten-1,ten-1-0,- a - r n u - -,biglexstat
blag1240-tuntu-sun-1-biglexstat,blag1240-tuntu-sun-1,sun-1-0,v e d -,biglexstat
blag1240-tuntu-marungga-1-biglexstat,blag1240-tuntu-marungga-1,marungga-1-0,m o t o l u ŋ,biglexstat
blag1240-tuntu-betel_nut_areca-1-biglexstat,blag1240-tuntu-betel_nut_areca-1,betel_nut_areca-1-0,b u -,biglexstat
blag1240-tuntu-coconut-1-biglexstat,blag1240-tuntu-coconut-1,coconut-2-2,v e t,biglexstat
blag1240-tuntu-arm-1-biglexstat,blag1240-tuntu-arm-1,arm-1-0,t a t a ŋ,biglexstat
blag1240-tuntu-husband-1-biglexstat,blag1240-tuntu-husband-1,husband-2-0,t e n i - ŋ,biglexstat
blag1240-tuntu-chin-1-biglexstat,blag1240-tuntu-chin-1,chin-1-7,t a v a,biglexstat
blag1240-tuntu-nose-1-biglexstat,blag1240-tuntu-nose-1,nose-1-0,t i m - i ŋ - -,biglexstat
blag1240-tuntu-fat-1-biglexstat,blag1240-tuntu-fat-1,fat-1-0,- - t a m a - -,biglexstat
blag1240-tuntu-left_side-1-biglexstat,blag1240-tuntu-left_side-1,left_side-1-0,- a - j a x o r,biglexstat
blag1240-tuntu-green-1-biglexstat,blag1240-tuntu-green-1,green-1-0,q u - a q u - - a - -,biglexstat
blag1240-tuntu-hot-1-biglexstat,blag1240-tuntu-hot-1,hot-1-0,- - v a r a -,biglexstat
blag1240-tuntu-bedbug-1-biglexstat,blag1240-tuntu-bedbug-1,bedbug-1-0,- - - t e m e - k - -,biglexstat
blag1240-tuntu-wrong-1-biglexstat,blag1240-tuntu-wrong-1,wrong-1-0,g a s a l i,biglexstat
blag1240-tuntu-to_come-1-biglexstat,blag1240-tuntu-to_come-1,to_come-1-0,m a - -,biglexstat
blag1240-tuntu-to_play-1-biglexstat,blag1240-tuntu-to_play-1,to_play-1-0,m u - l a l,biglexstat
blag1240-tuntu-to_hold-1-biglexstat,blag1240-tuntu-to_hold-1,to_hold-1-0,- - - - - p i - n a,biglexstat
blag1240-tuntu-to_think-1-biglexstat,blag1240-tuntu-to_think-1,to_think-1-0,v e ŋ - p i k i r,biglexstat
blag1240-tuntu-twenty-1-biglexstat,blag1240-tuntu-twenty-1,twenty-1-0,q a r _ - a - - k u r,biglexstat
blag1240-warsa-star-1-biglexstat,blag1240-warsa-star-1,star-1-0,- i - - - d - - - - - -,biglexstat
blag1240-warsa-sun-1-biglexstat,blag1240-warsa-sun-1,sun-1-0,v e d -,biglexstat
blag1240-tuntu-ten-1-biglexstat,blag1240-tuntu-ten-1,ten-1-0,q a - r n u k -,biglexstat
blag1240-tuntu-thirty-1-biglexstat,blag1240-tuntu-thirty-1,thirty-1-0,- q a r _ t u g e -,biglexstat
blag1240-warsa-branch-1-biglexstat,blag1240-warsa-branch-1,branch-1-7,t e _ g a t a ŋ -,biglexstat
blag1240-warsa-spear-1-biglexstat,blag1240-warsa-spear-1,spear-1-4,q a b a,biglexstat
blag1240-warsa-drizzle-2-biglexstat,blag1240-warsa-drizzle-2,drizzle-1-1,o n o r _ l e v a l e r u,biglexstat
blag1240-warsa-rainbow-1-biglexstat,blag1240-warsa-rainbow-1,rainbow-1-1,q e l e s,biglexstat
blag1240-warsa-clothing-4-biglexstat,blag1240-warsa-clothing-4,clothing-1-0,n o w a ŋ,biglexstat
blag1240-warsa-sea-1-biglexstat,blag1240-warsa-sea-1,sea-1-0,t - - a ŋ - - - - - -,biglexstat
blag1240-warsa-mountain-1-biglexstat,blag1240-warsa-mountain-1,mountain-1-0,b u k u - - - - - - -,biglexstat
blag1240-warsa-betel_nut_areca-1-biglexstat,blag1240-warsa-betel_nut_areca-1,betel_nut_areca-1-0,b u -,biglexstat
blag1240-warsa-bean-2-biglexstat,blag1240-warsa-bean-2,bean-3-3,t a g u l - - - - - -,biglexstat
blag1240-warsa-fat-1-biglexstat,blag1240-warsa-fat-1,fat-1-0,g e t a m - - a,biglexstat
blag1240-warsa-nose-1-biglexstat,blag1240-warsa-nose-1,nose-1-0,t i m - i ŋ - -,biglexstat
blag1240-warsa-palm_of_hand-1-biglexstat,blag1240-warsa-palm_of_hand-1,palm_of_hand-1-0,t a t a ŋ _ g o m i,biglexstat
blag1240-warsa-coconut-1-biglexstat,blag1240-warsa-coconut-1,coconut-1-3,v e t,biglexstat
blag1240-warsa-stomach_belly-1-biglexstat,blag1240-warsa-stomach_belly-1,stomach_belly-1-0,t ə t o k u - - - - -,biglexstat
blag1240-warsa-leg-1-biglexstat,blag1240-warsa-leg-1,leg-2-6,t i a q,biglexstat
blag1240-warsa-marungga-1-biglexstat,blag1240-warsa-marungga-1,marungga-1-0,m o t o l u ŋ,biglexstat
blag1240-warsa-ringworm-1-biglexstat,blag1240-warsa-ringworm-1,ringworm-1-0,q o t,biglexstat
blag1240-warsa-arm-1-biglexstat,blag1240-warsa-arm-1,arm-1-0,t a t a ŋ,biglexstat
blag1240-warsa-pig-1-biglexstat,blag1240-warsa-pig-1,pig-1-0,b e - -,biglexstat
blag1240-warsa-bedbug-1-biglexstat,blag1240-warsa-bedbug-1,bedbug-1-0,- - - t e m e - k - -,biglexstat
blag1240-warsa-mother-1-biglexstat,blag1240-warsa-mother-1,mother-1-1,t i v a -,biglexstat
blag1240-warsa-bride_price-1-biglexstat,blag1240-warsa-bride_price-1,bride_price-1-3,g e i l i - - - - -,biglexstat
blag1240-warsa-child-1-biglexstat,blag1240-warsa-child-1,child-3-5,t o x a l,biglexstat
blag1240-warsa-child-2-biglexstat,blag1240-warsa-child-2,child-3-5,v a x a l,biglexstat
blag1240-warsa-father-1-biglexstat,blag1240-warsa-father-1,father-1-0,n i m a ŋ - -,biglexstat
blag1240-warsa-name-1-biglexstat,blag1240-warsa-name-1,name-1-0,- t e n - - e,biglexstat
blag1240-warsa-to_eat-1-biglexstat,blag1240-warsa-to_eat-1,to_eat-1-0,- n a - -,biglexstat
blag1240-warsa-dark-1-biglexstat,blag1240-warsa-dark-1,dark-2-1,q a n a,biglexstat
blag1240-warsa-smooth-1-biglexstat,blag1240-warsa-smooth-1,smooth-1-0,d u l - a,biglexstat
blag1240-warsa-to_think-3-biglexstat,blag1240-warsa-to_think-3,to_think-1-9,v e ŋ + o k u r - -,biglexstat
blag1240-warsa-to_sit-1-biglexstat,blag1240-warsa-to_sit-1,to_sit-1-0,- m i s i -,biglexstat
blag1240-warsa-skinny-1-biglexstat,blag1240-warsa-skinny-1,skinny-1-1,g e b o x a _ dʒ a s i,biglexstat
blag1240-warsa-dry-1-biglexstat,blag1240-warsa-dry-1,dry-1-0,t a x a t a,biglexstat
blag1240-warsa-wide-2-biglexstat,blag1240-warsa-wide-2,wide-3-3,s a r a r - - - a,biglexstat
blag1240-warsa-to_think-4-biglexstat,blag1240-warsa-to_think-4,to_think-1-9,v e ŋ + o m e m e a,biglexstat
blag1240-warsa-to_climb-2-biglexstat,blag1240-warsa-to_climb-2,to_climb-1-0,- - - - m i d a,biglexstat
blag1240-warsa-to_come-1-biglexstat,blag1240-warsa-to_come-1,to_come-1-0,m a - -,biglexstat
blag1240-warsa-to_spit-1-biglexstat,blag1240-warsa-to_spit-1,to_spit-1-0,p u r u ŋ -,biglexstat
blag1240-warsa-ten-1-biglexstat,blag1240-warsa-ten-1,ten-1-1,x a r _ n u k -,biglexstat
buna1278-bobon-clay-1-biglexstat,buna1278-bobon-clay-1,clay-1-0,m u k _ f - i l a t,biglexstat
buna1278-bobon-storage_house-1-biglexstat,buna1278-bobon-storage_house-1,storage_house-2-2,b a i _ g o l o,biglexstat
buna1278-bobon-ash-1-biglexstat,buna1278-bobon-ash-1,ash-2-6,- - - - l ɔ b ɔ t,biglexstat
buna1278-bobon-clothing-1-biglexstat,buna1278-bobon-clothing-1,clothing-3-4,b a i _ p h a t - a,biglexstat
buna1278-bobon-fire-2-biglexstat,buna1278-bobon-fire-2,fire-1-3,h ɔ t ɔ,biglexstat
buna1278-bobon-door-1-biglexstat,buna1278-bobon-door-1,door-2-3,t a z u h,biglexstat
buna1278-bobon-rice_field-1-biglexstat,buna1278-bobon-rice_field-1,rice_field-1-3,l o ɛ _ m u g _ - i l,biglexstat
buna1278-bobon-dust-1-biglexstat,buna1278-bobon-dust-1,dust-2-1,- - - - - l ɔ b ɔ t,biglexstat
buna1278-bobon-door-2-biglexstat,buna1278-bobon-door-2,door-2-3,t a z u -,biglexstat
buna1278-bobon-comb-1-biglexstat,buna1278-bobon-comb-1,comb-2-7,s u e,biglexstat
buna1278-bobon-comb-2-biglexstat,buna1278-bobon-comb-2,comb-2-7,s a e,biglexstat
buna1278-bobon-teeth-1-biglexstat,buna1278-bobon-teeth-1,teeth-2-7,g eː - -,biglexstat
buna1278-bobon-liver-1-biglexstat,buna1278-bobon-liver-1,liver-1-0,g ɔ t ɔ k,biglexstat
buna1278-bobon-firewood-1-biglexstat,buna1278-bobon-firewood-1,firewood-1-2,ɔ t ɛ l _ - s u k h a,biglexstat
buna1278-bobon-fruit-1-biglexstat,buna1278-bobon-fruit-1,fruit-1-8,- - - g ɔ ʔ,biglexstat
buna1278-bobon-grains-1-biglexstat,buna1278-bobon-grains-1,grains-1-2,i p i _ g ɔ l,biglexstat
buna1278-bobon-firewood-3-biglexstat,buna1278-bobon-firewood-3,firewood-1-2,ɔ t ɛ l _ t s u r - i,biglexstat
buna1278-bobon-liver-2-biglexstat,buna1278-bobon-liver-2,liver-1-0,- ɔ t ɔ k,biglexstat
buna1278-bobon-tree-1-biglexstat,buna1278-bobon-tree-1,tree-2-8,ɔ t ɛ l _ b u l,biglexstat
buna1278-bobon-tree-2-biglexstat,buna1278-bobon-tree-2,tree-2-8,ɔ t ɛ l - - - -,biglexstat
buna1278-bobon-where-1-biglexstat,buna1278-bobon-where-1,where-3-0,t ɛ r o _ g ɛ n e,biglexstat
buna1278-bobon-who-1-biglexstat,buna1278-bobon-who-1,who-1-4,s i o,biglexstat
buna1278-bobon-who-2-biglexstat,buna1278-bobon-who-2,who-1-4,tʃ i o,biglexstat
buna1278-bobon-teeth-2-biglexstat,buna1278-bobon-teeth-2,teeth-2-7,g eː g o,biglexstat
buna1278-bobon-louse_in_hair-1-biglexstat,buna1278-bobon-louse_in_hair-1,louse_in_hair-2-12,h i ɛ n - - - - -,biglexstat
buna1278-bobon-to_run-1-biglexstat,buna1278-bobon-to_run-1,to_run-2-0,tʃ i a l,biglexstat
buna1278-bobon-to_buy-1-biglexstat,buna1278-bobon-to_buy-1,to_buy-2-3,- - i t,biglexstat
buna1278-bobon-to_slap-1-biglexstat,buna1278-bobon-to_slap-1,to_slap-1-3,- - t h a s,biglexstat
buna1278-bobon-to_shine-1-biglexstat,buna1278-bobon-to_shine-1,to_shine-1-10,ɔ t ɔ _ l i l i,biglexstat
buna1278-bobon-to_breathe-3-biglexstat,buna1278-bobon-to_breathe-3,to_breathe-2-0,n ɔ s i l,biglexstat
buna1278-bobon-to_slap-2-biglexstat,buna1278-bobon-to_slap-2,to_slap-1-3,g a p h a s,biglexstat
buna1278-bobon-to_search_for_to_hunt_for-1-biglexstat,buna1278-bobon-to_search_for_to_hunt_for-1,to_search_for_to_hunt_for-2-3,s a g a l,biglexstat
buna1278-bobon-to_hold-1-biglexstat,buna1278-bobon-to_hold-1,to_hold-2-4,h ɔ n ɛ,biglexstat
buna1278-bobon-to_hit_drum-1-biglexstat,buna1278-bobon-to_hit_drum-1,to_hit_drum-1-2,f ɛ l ɛ,biglexstat
buna1278-bobon-stranger-1-biglexstat,buna1278-bobon-stranger-1,stranger-1-3,ɛ n _ u g a -,biglexstat
buna1278-bobon-stranger-2-biglexstat,buna1278-bobon-stranger-2,stranger-1-3,ɛ n _ - g u n,biglexstat
buna1278-bobon-dowry-1-biglexstat,buna1278-bobon-dowry-1,dowry-1-0,p h a n a _ g o b o l _ l a i,biglexstat
buna1278-bobon-sacrifice-1-biglexstat,buna1278-bobon-sacrifice-1,sacrifice-1-3,k a s a ʔ _ g u m ɛ,biglexstat
buna1278-bobon-priest_modern-1-biglexstat,buna1278-bobon-priest_modern-1,priest_modern-1-3,a m u - - - - - -,biglexstat
buna1278-bobon-priest_modern-3-biglexstat,buna1278-bobon-priest_modern-3,priest_modern-1-3,a m u _ l u l i k,biglexstat
buna1278-bobon-to_trade-1-biglexstat,buna1278-bobon-to_trade-1,to_trade-1-4,- - - s e ʔ ɔ,biglexstat
buna1278-malia-star-1-biglexstat,buna1278-malia-star-1,star-2-2,b iː - - -,biglexstat
buna1278-malia-knee-1-biglexstat,buna1278-malia-knee-1,knee-2-3,- - - b u t,biglexstat
buna1278-malia-1sg-1-biglexstat,buna1278-malia-1sg-1,1sg-1-0,n ɛ t ɔ,biglexstat
buna1278-malia-3pl-1-biglexstat,buna1278-malia-3pl-1,3pl-1-9,ʔ ɔ l a ʔ i,biglexstat
buna1278-malia-near-1-biglexstat,buna1278-malia-near-1,near-1-4,d e ʔ i n,biglexstat
buna1278-malia-old_people-1-biglexstat,buna1278-malia-old_people-1,old_people-2-1,- - - - - - m a t h ɑ s,biglexstat
buna1278-malia-near-2-biglexstat,buna1278-malia-near-2,near-1-4,r e ʔ i n,biglexstat
buna1278-malia-there-1-biglexstat,buna1278-malia-there-1,there-5-0,- - b a ʔ a _ g ɛ n ɛ,biglexstat
buna1278-malia-there-2-biglexstat,buna1278-malia-there-2,there-5-0,ʔ o t a b a _ g ɛ n ɛ,biglexstat
buna1278-malia-dry-1-biglexstat,buna1278-malia-dry-1,dry-2-2,s a ʔ,biglexstat
buna1278-malia-young_people-2-biglexstat,buna1278-malia-young_people-2,young_people-2-4,- m o n ɛ _ l ɑ u n,biglexstat
buna1278-malia-3pl-2-biglexstat,buna1278-malia-3pl-2,3pl-1-9,ʔ ɑ l a ʔ i,biglexstat
buna1278-malia-who-1-biglexstat,buna1278-malia-who-1,who-1-3,tʃ i - o,biglexstat
buna1278-malia-who-2-biglexstat,buna1278-malia-who-2,who-1-3,tʃ i ʁ o,biglexstat
buna1278-malia-to_pull-1-biglexstat,buna1278-malia-to_pull-1,to_pull-1-3,d ɔ s i l _ t ɑ tʃ i,biglexstat
buna1278-malia-to_suck-1-biglexstat,buna1278-malia-to_suck-1,to_suck-1-3,g u m u r i,biglexstat
buna1278-malia-to_suck-2-biglexstat,buna1278-malia-to_suck-2,to_suck-1-3,- - m u r i,biglexstat
buna1278-suai-dust-1-biglexstat,buna1278-suai-dust-1,dust-2-9,- - - - - l ɔ b ɔ t,biglexstat
buna1278-suai-betel_vine-1-biglexstat,buna1278-suai-betel_vine-1,betel_vine-2-2,m o l o,biglexstat
buna1278-suai-grains-1-biglexstat,buna1278-suai-grains-1,grains-1-0,i p i _ g ɔ l,biglexstat
buna1278-suai-tree-1-biglexstat,buna1278-suai-tree-1,tree-2-7,ɔ t ɛ l _ b u l,biglexstat
buna1278-suai-fruit-1-biglexstat,buna1278-suai-fruit-1,fruit-1-2,- - - g ɔ ʔ,biglexstat
buna1278-suai-tree-2-biglexstat,buna1278-suai-tree-2,tree-2-7,ɔ t ɛ l - - - -,biglexstat
buna1278-suai-house-1-biglexstat,buna1278-suai-house-1,house-2-2,d e u,biglexstat
buna1278-suai-house-2-biglexstat,buna1278-suai-house-2,house-2-2,d e -,biglexstat
buna1278-suai-door-1-biglexstat,buna1278-suai-door-1,door-2-2,t a z u h,biglexstat
buna1278-suai-door-2-biglexstat,buna1278-suai-door-2,door-2-2,t a z u -,biglexstat
buna1278-suai-chew_betel-1-biglexstat,buna1278-suai-chew_betel-1,chew_betel-2-0,m o l o - - -,biglexstat
buna1278-suai-fire-2-biglexstat,buna1278-suai-fire-2,fire-1-1,h ɔ t ɔ - - - - -,biglexstat
buna1278-suai-storage_house-1-biglexstat,buna1278-suai-storage_house-1,storage_house-2-0,b a i _ g o l o,biglexstat
buna1278-suai-liver-1-biglexstat,buna1278-suai-liver-1,liver-2-0,g ɔ t ɔ k,biglexstat
buna1278-suai-who-1-biglexstat,buna1278-suai-who-1,who-1-2,s i o,biglexstat
buna1278-suai-who-2-biglexstat,buna1278-suai-who-2,who-1-2,tʃ i o,biglexstat
buna1278-suai-where-1-biglexstat,buna1278-suai-where-1,where-4-0,t ɛ r o _ g ɛ n e,biglexstat
buna1278-suai-to_breathe-3-biglexstat,buna1278-suai-to_breathe-3,to_breathe-3-0,n ɔ s i l,biglexstat
buna1278-suai-to_slap-1-biglexstat,buna1278-suai-to_slap-1,to_slap-1-2,- - t h a s,biglexstat
buna1278-suai-to_slap-2-biglexstat,buna1278-suai-to_slap-2,to_slap-1-2,g a p h a s,biglexstat
buna1278-suai-to_shine-1-biglexstat,buna1278-suai-to_shine-1,to_shine-1-9,ɔ t ɔ _ l i l i,biglexstat
buna1278-suai-to_search_for_to_hunt_for-1-biglexstat,buna1278-suai-to_search_for_to_hunt_for-1,to_search_for_to_hunt_for-2-0,s a g a l,biglexstat
buna1278-suai-to_buy-1-biglexstat,buna1278-suai-to_buy-1,to_buy-1-1,- - i t,biglexstat
buna1278-suai-to_buy-2-biglexstat,buna1278-suai-to_buy-2,to_buy-1-1,g + i t,biglexstat
buna1278-suai-grandchild-1-biglexstat,buna1278-suai-grandchild-1,grandchild-1-4,g a t a l _ f a n a,biglexstat
buna1278-suai-priest_modern-1-biglexstat,buna1278-suai-priest_modern-1,priest_modern-1-2,a m u - - - - - -,biglexstat
buna1278-suai-candle-1-biglexstat,buna1278-suai-candle-1,candle-1-0,l i l i n,biglexstat
buna1278-suai-stranger-1-biglexstat,buna1278-suai-stranger-1,stranger-2-1,ɛ n _ u g a -,biglexstat
buna1278-suai-to_trade-1-biglexstat,buna1278-suai-to_trade-1,to_trade-1-5,- - - s e ʔ ɔ,biglexstat
buna1278-suai-stranger-2-biglexstat,buna1278-suai-stranger-2,stranger-2-1,ɛ n _ - g u n,biglexstat
buna1278-suai-sacrifice-1-biglexstat,buna1278-suai-sacrifice-1,sacrifice-1-2,k a s a ʔ _ g u m ɛ,biglexstat
buna1278-suai-to_refuse-1-biglexstat,buna1278-suai-to_refuse-1,to_refuse-1-5,p i a ʔ,biglexstat
dein1238-road-2-biglexstat,dein1238-road-2,road-2-4,- - t o r,biglexstat
dein1238-sun-1-biglexstat,dein1238-sun-1,sun-1-0,w a r -,biglexstat
dein1238-sea-1-biglexstat,dein1238-sea-1,sea-1-0,t - - a ŋ - - - - - -,biglexstat
dein1238-axe-1-biglexstat,dein1238-axe-1,axe-1-0,b a l i ŋ,biglexstat
dein1238-thatch_for_roofing-1-biglexstat,dein1238-thatch_for_roofing-1,thatch_for_roofing-1-0,- m a - ŋ -,biglexstat
dein1238-stone-1-biglexstat,dein1238-stone-1,stone-1-0,w a r -,biglexstat
dein1238-betel_nut_areca-1-biglexstat,dein1238-betel_nut_areca-1,betel_nut_areca-1-0,b u i,biglexstat
dein1238-body_hair-1-biglexstat,dein1238-body_hair-1,body_hair-1-0,- - - m u r -,biglexstat
dein1238-stomach_belly-1-biglexstat,dein1238-stomach_belly-1,stomach_belly-1-0,n a t a ʔ - - - - - -,biglexstat
dein1238-coconut-1-biglexstat,dein1238-coconut-1,coconut-1-0,w a t - -,biglexstat
dein1238-arm-1-biglexstat,dein1238-arm-1,arm-1-2,n a t a ŋ,biglexstat
dein1238-crocodile-1-biglexstat,dein1238-crocodile-1,crocodile-1-0,b a h a i,biglexstat
dein1238-heavy-1-biglexstat,dein1238-heavy-1,heavy-2-6,s h u r,biglexstat
dein1238-older_sibling-1-biglexstat,dein1238-older_sibling-1,older_sibling-2-4,n e i n a x -,biglexstat
dein1238-bat-1-biglexstat,dein1238-bat-1,bat-1-0,m a dː e -,biglexstat
dein1238-ten-1-biglexstat,dein1238-ten-1,ten-1-0,q a - r n u k -,biglexstat
dela1252-if-1-biglexstat,dela1252-if-1,if-1-1,m e t e - - -,biglexstat
dela1252-itchy-1-biglexstat,dela1252-itchy-1,itchy-2-3,- - - - ɗ o f u,biglexstat
dein1238-six-1-biglexstat,dein1238-six-1,six-1-0,t a l a ŋ - -,biglexstat
dela1252-garden-1-biglexstat,dela1252-garden-1,garden-2-2,o s i - - - - - -,biglexstat
dela1252-heavy-1-biglexstat,dela1252-heavy-1,heavy-2-5,n a m a ɓ e r a -,biglexstat
dela1252-itchy-2-biglexstat,dela1252-itchy-2,itchy-2-3,m a ʔ a ɗ o f u,biglexstat
dela1252-to_cook-1-biglexstat,dela1252-to_cook-1,to_cook-3-3,ɗ o ɗ e + n a s u,biglexstat
dela1252-tear-1-biglexstat,dela1252-tear-1,tear-1-2,l uː - - - -,biglexstat
dela1252-who-1-biglexstat,dela1252-who-1,who-2-4,s eː - -,biglexstat
dela1252-tear-2-biglexstat,dela1252-tear-2,tear-1-2,l uː _ o e ʔ,biglexstat
dela1252-to_sleep-1-biglexstat,dela1252-to_sleep-1,to_sleep-2-6,s u ŋg u ʔ - - - - -,biglexstat
dela1252-hungry-1-biglexstat,dela1252-hungry-1,hungry-1-5,nd o e - - - - -,biglexstat
dela1252-heavy-2-biglexstat,dela1252-heavy-2,heavy-2-5,m a m a ɓ e r a ʔ,biglexstat
dela1252-to_wash-1-biglexstat,dela1252-to_wash-1,to_wash-2-1,s a f e - - - - -,biglexstat
dela1252-to_sit-1-biglexstat,dela1252-to_sit-1,to_sit-2-1,- e nd o ʔ,biglexstat
dela1252-to_cut-1-biglexstat,dela1252-to_cut-1,to_cut-1-8,ʔ u ŋg a,biglexstat
dela1252-to_divide-1-biglexstat,dela1252-to_divide-1,to_divide-2-2,ɓ a ŋg i - - - - -,biglexstat
dela1252-same-1-biglexstat,dela1252-same-1,same-1-0,s a m a,biglexstat
dhao1237-day-2-biglexstat,dhao1237-day-2,day-4-5,l oː - -,biglexstat
dhao1237-day-3-biglexstat,dhao1237-day-3,day-4-5,l o ɗ o,biglexstat
dhao1237-door-1-biglexstat,dhao1237-door-1,door-3-0,h ə b a - - - - -,biglexstat
dhao1237-field-1-biglexstat,dhao1237-field-1,field-1-1,p a ɗ a,biglexstat
dhao1237-field-2-biglexstat,dhao1237-field-2,field-1-1,p a d a,biglexstat
dhao1237-leaf-1-biglexstat,dhao1237-leaf-1,leaf-2-4,r ə u - - - - -,biglexstat
dhao1237-fruit-1-biglexstat,dhao1237-fruit-1,fruit-1-3,h u a - - - - -,biglexstat
dhao1237-sweat-1-biglexstat,dhao1237-sweat-1,sweat-2-5,- - - - k a bβ ə s u,biglexstat
dhao1237-excrement-1-biglexstat,dhao1237-excrement-1,excrement-2-0,ⁿd a ʔ i -,biglexstat
dhao1237-woman-1-biglexstat,dhao1237-woman-1,woman-3-8,- - - - bβ ə n i,biglexstat
dhao1237-woman-2-biglexstat,dhao1237-woman-2,woman-3-8,ɖʐ ə u _ bβ ə n i,biglexstat
dhao1237-neck-1-biglexstat,dhao1237-neck-1,neck-2-2,- - - - - g o r o,biglexstat
dhao1237-name-1-biglexstat,dhao1237-name-1,name-1-3,- - - - ŋ a r a,biglexstat
dhao1237-man-1-biglexstat,dhao1237-man-1,man-2-1,- - - - m o n e,biglexstat
dhao1237-this-1-biglexstat,dhao1237-this-1,this-2-1,k a n e ʔ e,biglexstat
dhao1237-here-1-biglexstat,dhao1237-here-1,here-2-1,k a n e ʔ e,biglexstat
dhao1237-to_go-1-biglexstat,dhao1237-to_go-1,to_go-1-0,l a ʔ a,biglexstat
