ID,Lect_ID,Concept_ID,Form_according_to_Source,Form,Local_Orthography,Segments,Comment,Source
abui1241-fuime-sky-1,abui1241-fuime,sky,adi,adi,adi,a d i,,schapper10
abui1241-fuime-sun-1,abui1241-fuime,sun,wari,wari,wari,w a r i,,schapper10
abui1241-fuime-moon-1,abui1241-fuime,moon,ije,ije,iye,i j e,,schapper10
abui1241-fuime-star-1,abui1241-fuime,star,fɪri,fɪri,firi,f ɪ r i,,schapper10
abui1241-fuime-night-1,abui1241-fuime,night,tuŋtama,tuŋtama,tungtama,t u ŋ t a m a,,schapper10
abui1241-fuime-day-1,abui1241-fuime,day,tadeŋ,tadeŋ,tadeng,t a d e ŋ,,schapper10
abui1241-fuime-morning-1,abui1241-fuime,morning,akuni,akuni,akuni,a k u n i,,schapper10
abui1241-fuime-yesterday-1,abui1241-fuime,yesterday,tuona:,tuonaː,tuonaa,t u o n aː,,schapper10
abui1241-fuime-day_before_yesterday-1,abui1241-fuime,day_before_yesterday,hetadeŋ ajoku,hetadeŋ_ajoku,hetadeng ayoku,h e t a d e ŋ _ a j o k u,,schapper10
abui1241-fuime-tomorrow-1,abui1241-fuime,tomorrow,akuni,akuni,akuni,a k u n i,,schapper10
abui1241-fuime-day_after_tomorrow-1,abui1241-fuime,day_after_tomorrow,ajoku,ajoku,ayoku,a j o k u,,schapper10
abui1241-fuime-twilight_dawn-1,abui1241-fuime,twilight_dawn,arida pe,arida_pe,arida pe,a r i d a _ p e,,schapper10
abui1241-fuime-cloud-1,abui1241-fuime,cloud,kabuti,kabuti,kabuti,k a b u t i,,schapper10
abui1241-fuime-wind-1,abui1241-fuime,wind,timoi,timoi,timoi,t i m o i,,schapper10
abui1241-fuime-rain-1,abui1241-fuime,rain,anui,anui,anui,a n u i,,schapper10
abui1241-fuime-lightning-1,abui1241-fuime,lightning,falielai,falielai,falielai,f a l i e l a i,,schapper10
abui1241-fuime-earthquake-1,abui1241-fuime,earthquake,taijoka,taijoka,taiyoka,t a i j o k a,,schapper10
abui1241-fuime-fog-1,abui1241-fuime,fog,tabo,tabo,tabo,t a b o,,schapper10
abui1241-fuime-river_stream-1,abui1241-fuime,river_stream,lu,lu,lu,l u,,schapper10
abui1241-fuime-lake-1,abui1241-fuime,lake,wafoko,wafoko,wafoko,w a f o k o,,schapper10
abui1241-fuime-mountain-1,abui1241-fuime,mountain,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-hill_ridge-1,abui1241-fuime,hill_ridge,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-village-1,abui1241-fuime,village,melaŋ,melaŋ,melang,m e l a ŋ,,schapper10
abui1241-fuime-soil-1,abui1241-fuime,soil,anei,anei,anei,a n e i,,schapper10
abui1241-fuime-Earth-1,abui1241-fuime,Earth,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-hole-1,abui1241-fuime,hole,uli,uli,uli,u l i,,schapper10
abui1241-fuime-stone-1,abui1241-fuime,stone,vi,vi,wi,v i,,schapper10
abui1241-fuime-coral_rock-1,abui1241-fuime,coral_rock,vi futi,vi_futi,wi futi,v i _ f u t i,,schapper10
abui1241-fuime-coral_reef-1,abui1241-fuime,coral_reef,futi,futi,futi,f u t i,,schapper10
abui1241-fuime-water-1,abui1241-fuime,water,je,je,ye,j e,,schapper10
abui1241-fuime-sea-1,abui1241-fuime,sea,tama,tama,tama,t a m a,,schapper10
abui1241-fuime-wave-1,abui1241-fuime,wave,fou,fou,fou,f o u,,schapper10
abui1241-fuime-foam-1,abui1241-fuime,foam,bou bala:kiŋ,bou_balaːkiŋ,bou balaaking,b o u _ b a l aː k i ŋ,,schapper10
abui1241-fuime-field-1,abui1241-fuime,field,rol,rol,rol,r o l,,schapper10
abui1241-fuime-garden-1,abui1241-fuime,garden,uti,uti,uti,u t i,,schapper10
abui1241-fuime-road-1,abui1241-fuime,road,sefoko,sefoko,sefoko,s e f o k o,,schapper10
abui1241-fuime-rope-1,abui1241-fuime,rope,tila,tila,tila,t i l a,,schapper10
abui1241-fuime-machete-1,abui1241-fuime,machete,kaweni,kaweni,kaweni,k a w e n i,,schapper10
abui1241-fuime-axe-1,abui1241-fuime,axe,faliŋ,faliŋ,faling,f a l i ŋ,,schapper10
abui1241-fuime-stick_pole-1,abui1241-fuime,stick_pole,tukaraŋ,tukaraŋ,tukarang,t u k a r a ŋ,,schapper10
abui1241-fuime-bow-1,abui1241-fuime,bow,peti,peti,peti,p e t i,,schapper10
abui1241-fuime-arrow-1,abui1241-fuime,arrow,kaike,kaike,kaike,k a i k e,,schapper10
abui1241-fuime-knife-1,abui1241-fuime,knife,lui,lui,lui,l u i,,schapper10
abui1241-fuime-comb-1,abui1241-fuime,comb,ke:ti,keːti,keeti,k eː t i,,schapper10
abui1241-fuime-mat-1,abui1241-fuime,mat,adik,adik,adik,a d i k,,schapper10
abui1241-fuime-needle-1,abui1241-fuime,needle,tiŋ,tiŋ,ting,t i ŋ,,schapper10
abui1241-fuime-oven-1,abui1241-fuime,oven,vi,vi,wi,v i, ‘stone’,schapper10
abui1241-fuime-fire-1,abui1241-fuime,fire,ara,ara,ara,a r a,,schapper10
abui1241-fuime-fire-2,abui1241-fuime,fire,ara wasiŋ,ara_wasiŋ,ara wasing,a r a _ w a s i ŋ,,schapper10
abui1241-fuime-smoke-1,abui1241-fuime,smoke,ara tika,ara_tika,ara tika,a r a _ t i k a,,schapper10
abui1241-fuime-ash-1,abui1241-fuime,ash,tabuoŋ,tabuoŋ,tabuong,t a b u o ŋ,,schapper10
abui1241-fuime-dust-1,abui1241-fuime,dust,tabuoŋ,tabuoŋ,tabuong,t a b u o ŋ,,schapper10
abui1241-fuime-sand-1,abui1241-fuime,sand,malatai,malatai,malatai,m a l a t a i,,schapper10
abui1241-fuime-grass-1,abui1241-fuime,grass,kupei,kupei,kupei,k u p e i,,schapper10
abui1241-fuime-house-1,abui1241-fuime,house,fala,fala,fala,f a l a,,schapper10
abui1241-fuime-traditional_house-1,abui1241-fuime,traditional_house,kadaŋ,kadaŋ,kadang,k a d a ŋ,,schapper10
abui1241-fuime-storage_house-1,abui1241-fuime,storage_house,kadaŋ,kadaŋ,kadang,k a d a ŋ,,schapper10
abui1241-fuime-raised_platform-1,abui1241-fuime,raised_platform,lik,lik,lik,l i k,,schapper10
abui1241-fuime-door-1,abui1241-fuime,door,luŋ,luŋ,lung,l u ŋ,,schapper10
abui1241-fuime-thatch_for_roofing-1,abui1241-fuime,thatch_for_roofing,ameŋ,ameŋ,ameng,a m e ŋ,,schapper10
abui1241-fuime-tree-1,abui1241-fuime,tree,ˈbata,ˈbata,bata,b a t a,,schapper10
abui1241-fuime-bark_of_tree-1,abui1241-fuime,bark_of_tree,ˈbata hekai,ˈbata_hekai,bata hekai,b a t a _ h e k a i,,schapper10
abui1241-fuime-leaf-1,abui1241-fuime,leaf,watala,watala,watala,w a t a l a,,schapper10
abui1241-fuime-branch-1,abui1241-fuime,branch,bata tawakiŋ,bata_tawakiŋ,bata tawaking,b a t a _ t a w a k i ŋ,,schapper10
abui1241-fuime-firewood-1,abui1241-fuime,firewood,ara wa:siŋ,ara_waːsiŋ,ara waasing,a r a _ w aː s i ŋ,,schapper10
abui1241-fuime-rattan-1,abui1241-fuime,rattan,tibu,tibu,tibu,t i b u,,schapper10
abui1241-fuime-root-1,abui1241-fuime,root,bata ai,bata_ai,bata ai,b a t a _ a i,,schapper10
abui1241-fuime-seed-1,abui1241-fuime,seed,bi:ka,biːka,biika,b iː k a,,schapper10
abui1241-fuime-flower-1,abui1241-fuime,flower,kiki,kiki,kiki,k i k i,,schapper10
abui1241-fuime-uncooked_rice-1,abui1241-fuime,uncooked_rice,ajak,ajak,ayak,a j a k,,schapper10
abui1241-fuime-cooked_rice-1,abui1241-fuime,cooked_rice,ajak ma,ajak_ma,ayak ma,a j a k _ m a,,schapper10
abui1241-fuime-rice_plant-1,abui1241-fuime,rice_plant,ajak kai,ajak_kai,ayak kai,a j a k _ k a i,,schapper10
abui1241-fuime-to_plant_yam-1,abui1241-fuime,to_plant_yam,murua,murua,murua,m u r u a,,schapper10
abui1241-fuime-to_plant_rice-1,abui1241-fuime,to_plant_rice,ta:kda,taːkda,taakda,t aː k d a,,schapper10
abui1241-fuime-betel_nut_areca-1,abui1241-fuime,betel_nut_areca,fu,fu,fu,f u,,schapper10
abui1241-fuime-betel_vine-1,abui1241-fuime,betel_vine,me:tiŋ,meːtiŋ,meeting,m eː t i ŋ,,schapper10
abui1241-fuime-lime-1,abui1241-fuime,lime,awai,awai,awai,a w a i,,schapper10
abui1241-fuime-chew_betel-1,abui1241-fuime,chew_betel,fu take,fu_take,fu take,f u _ t a k e,,schapper10
abui1241-fuime-sweet_potato-1,abui1241-fuime,sweet_potato,moŋko,moŋko,mongko,m o ŋ k o,,schapper10
abui1241-fuime-cassava-1,abui1241-fuime,cassava,bata:ko,bataːko,bataako,b a t aː k o,,schapper10
abui1241-fuime-taro-1,abui1241-fuime,taro,kari,kari,kari,k a r i,,schapper10
abui1241-fuime-millet-1,abui1241-fuime,millet,kala,kala,kala,k a l a,,schapper10
abui1241-fuime-sugarcane-1,abui1241-fuime,sugarcane,fa,fa,fa,f a,,schapper10
abui1241-fuime-corn_maize-1,abui1241-fuime,corn_maize,fa:ti,faːti,faati,f aː t i,,schapper10
abui1241-fuime-coconut-1,abui1241-fuime,coconut,wata,wata,wata,w a t a,,schapper10
abui1241-fuime-sugar_palm-1,abui1241-fuime,sugar_palm,tuok,tuok,tuok,t u o k,,schapper10
abui1241-fuime-gum_tree-1,abui1241-fuime,gum_tree,ra.u,ra.u,rau,r a u,,schapper10
abui1241-fuime-gum_tree-2,abui1241-fuime,gum_tree,ra:u,raːu,raau,r aː u,,schapper10
abui1241-fuime-bamboo-1,abui1241-fuime,bamboo,mai,mai,mai,m a i,,schapper10
abui1241-fuime-bamboo-2,abui1241-fuime,bamboo,maija,maija,maiya,m a i j a,,schapper10
abui1241-fuime-banana-1,abui1241-fuime,banana,balei,balei,balei,b a l e i,,schapper10
abui1241-fuime-banana-2,abui1241-fuime,banana,musa,musa,musa,m u s a,,schapper10
abui1241-fuime-papaya-1,abui1241-fuime,papaya,bata: mija,bataː_mija,bataa miya,b a t aː _ m i j a,,schapper10
abui1241-fuime-jackfruit-1,abui1241-fuime,jackfruit,soŋ,soŋ,song,s o ŋ,,schapper10
abui1241-fuime-breadfruit-1,abui1241-fuime,breadfruit,bata: soŋ,bataː_soŋ,bataa song,b a t aː _ s o ŋ,,schapper10
abui1241-fuime-bean-1,abui1241-fuime,bean,takoi,takoi,takoi,t a k o i,,schapper10
abui1241-fuime-honey-1,abui1241-fuime,honey,nawa:ŋ,nawaːŋ,nawaang,n a w aː ŋ,,schapper10
abui1241-fuime-milk-1,abui1241-fuime,milk,tike,tike,tike,t i k e,,schapper10
abui1241-fuime-salt-1,abui1241-fuime,salt,ati,ati,ati,a t i,,schapper10
abui1241-fuime-fat-1,abui1241-fuime,fat,hetamada,hetamada,hetamada,h e t a m a d a,,schapper10
abui1241-fuime-meat-1,abui1241-fuime,meat,mai hituŋ,mai_hituŋ,mai hitung,m a i _ h i t u ŋ,,schapper10
abui1241-fuime-bone-1,abui1241-fuime,bone,hetaipa,hetaipa,hetaipa,h e t a i p a,,schapper10
abui1241-fuime-rib-1,abui1241-fuime,rib,heakafata,heakafata,heakafata,h e a k a f a t a,,schapper10
abui1241-fuime-sweat-1,abui1241-fuime,sweat,tamuriŋ,tamuriŋ,tamuring,t a m u r i ŋ,,schapper10
abui1241-fuime-tear-1,abui1241-fuime,tear,jaŋ nau,jaŋ_nau,yang nau,j a ŋ _ n a u,,schapper10
abui1241-fuime-blood-1,abui1241-fuime,blood,we,we,we,w e,,schapper10
abui1241-fuime-vein-1,abui1241-fuime,vein,teai,teai,teai,t e a i,,schapper10
abui1241-fuime-heart-1,abui1241-fuime,heart,tebikemaŋ,tebikemaŋ,tebikemang,t e b i k e m a ŋ,,schapper10
abui1241-fuime-liver-1,abui1241-fuime,liver,tekaleu,tekaleu,tekaleu,t e k a l e u,,schapper10
abui1241-fuime-guts-1,abui1241-fuime,guts,tatok falala,tatok_falala,tatok falala,t a t o k _ f a l a l a,,schapper10
abui1241-fuime-excrement-1,abui1241-fuime,excrement,asi,asi,asi,a s i,,schapper10
abui1241-fuime-stomach_belly-1,abui1241-fuime,stomach_belly,tatok foko,tatok_foko,tatok foko,t a t o k _ f o k o,,schapper10
abui1241-fuime-head-1,abui1241-fuime,head,kai,kai,kai,k a i,,schapper10
abui1241-fuime-hair-1,abui1241-fuime,hair,kai bata,kai_bata,kai bata,k a i _ b a t a,,schapper10
abui1241-fuime-body_hair-1,abui1241-fuime,body_hair,teamur,teamur,teamur,t e a m u r,,schapper10
abui1241-fuime-eye-1,abui1241-fuime,eye,tieŋ bilka,tieŋ_bilka,tieng bilka,t i e ŋ _ b i l k a,,schapper10
abui1241-fuime-ear-1,abui1241-fuime,ear,tawei ata,tawei_ata,tawei ata,t a w e i _ a t a,,schapper10
abui1241-fuime-nose-1,abui1241-fuime,nose,tamini,tamini,tamini,t a m i n i,,schapper10
abui1241-fuime-mouth-1,abui1241-fuime,mouth,tawa:bak,tawaːbak,tawaabak,t a w aː b a k,,schapper10
abui1241-fuime-lips-1,abui1241-fuime,lips,tawa:kul,tawaːkul,tawaakul,t a w aː k u l,,schapper10
abui1241-fuime-teeth-1,abui1241-fuime,teeth,taweiti,taweiti,taweiti,t a w e i t i,,schapper10
abui1241-fuime-tongue-1,abui1241-fuime,tongue,talifi,talifi,talifi,t a l i f i,,schapper10
abui1241-fuime-neck-1,abui1241-fuime,neck,tawata,tawata,tawata,t a w a t a,,schapper10
abui1241-fuime-shoulder-1,abui1241-fuime,shoulder,tabaŋ,tabaŋ,tabang,t a b a ŋ,,schapper10
abui1241-fuime-arm-1,abui1241-fuime,arm,tataŋ,tataŋ,tatang,t a t a ŋ,,schapper10
abui1241-fuime-finger-1,abui1241-fuime,finger,tataŋ pa:ka,tataŋ_paːka,tatang paaka,t a t a ŋ _ p aː k a,,schapper10
abui1241-fuime-fingernail-1,abui1241-fuime,fingernail,tataŋ kusiŋ,tataŋ_kusiŋ,tatang kusing,t a t a ŋ _ k u s i ŋ,,schapper10
abui1241-fuime-breast-1,abui1241-fuime,breast,tekodaŋ,tekodaŋ,tekodang,t e k o d a ŋ,‘chest’,schapper10
abui1241-fuime-navel-1,abui1241-fuime,navel,tabike,tabike,tabike,t a b i k e,,schapper10
abui1241-fuime-leg-1,abui1241-fuime,leg,tetuku,tetuku,tetuku,t e t u k u,,schapper10
abui1241-fuime-heel-1,abui1241-fuime,heel,tetuku hiakfolaŋ,tetuku_hiakfolaŋ,tetuku hiakfolang,t e t u k u _ h i a k f o l a ŋ,,schapper10
abui1241-fuime-knee-1,abui1241-fuime,knee,tabala buku,tabala_buku,tabala buku,t a b a l a _ b u k u,,schapper10
abui1241-fuime-back-1,abui1241-fuime,back,teui,teui,teui,t e u i,,schapper10
abui1241-fuime-skin-1,abui1241-fuime,skin,tekul,tekul,tekul,t e k u l,,schapper10
abui1241-fuime-wound-1,abui1241-fuime,wound,namu,namu,namu,n a m u,,schapper10
abui1241-fuime-ringworm-1,abui1241-fuime,ringworm,kafisiŋ,kafisiŋ,kafising,k a f i s i ŋ,,schapper10
abui1241-fuime-scabies-1,abui1241-fuime,scabies,kafisiŋ,kafisiŋ,kafising,k a f i s i ŋ,,schapper10
abui1241-fuime-tinea-1,abui1241-fuime,tinea,kafisiŋ,kafisiŋ,kafising,k a f i s i ŋ,,schapper10
abui1241-fuime-fever-1,abui1241-fuime,fever,kamura,kamura,kamura,k a m u r a,,schapper10
abui1241-fuime-conjunctivitis-1,abui1241-fuime,conjunctivitis,tiaŋ beakda,tiaŋ_beakda,tiang beakda,t i a ŋ _ b e a k d a,,schapper10
abui1241-fuime-cold_influenza-1,abui1241-fuime,cold_influenza,pasiŋ,pasiŋ,pasing,p a s i ŋ,,schapper10
abui1241-fuime-person-1,abui1241-fuime,person,ama,ama,ama,a m a,,schapper10
abui1241-fuime-name-1,abui1241-fuime,name,na-ne,na+ne,na-ne,n a + n e,‘my name’,schapper10
abui1241-fuime-child-1,abui1241-fuime,child,ne-wi,ne+wi,ne-wi,n e + w i,(obligatory prefix),schapper10
abui1241-fuime-man-1,abui1241-fuime,man,neŋ,neŋ,neng,n e ŋ,,schapper10
abui1241-fuime-woman-1,abui1241-fuime,woman,maijo,maijo,maiyo,m a i j o,,schapper10
abui1241-fuime-mother-1,abui1241-fuime,mother,nija,nija,niya,n i j a,‘my mother’,schapper10
abui1241-fuime-father-1,abui1241-fuime,father,mama,mama,mama,m a m a,,schapper10
abui1241-fuime-older_sibling-1,abui1241-fuime,older_sibling,nana,nana,nana,n a n a,,schapper10
abui1241-fuime-younger_sibling-1,abui1241-fuime,younger_sibling,nekokda,nekokda,nekokda,n e k o k d a,,schapper10
abui1241-fuime-younger_sibling-2,abui1241-fuime,younger_sibling,nenaha,nenaha,nenaha,n e n a h a,,schapper10
abui1241-fuime-bride_price-1,abui1241-fuime,bride_price,he-bel,he+bel,he-bel,h e + b e l,,schapper10
abui1241-fuime-left_side-1,abui1241-fuime,left_side,teibika,teibika,teibika,t e i b i k a,,schapper10
abui1241-fuime-right_side-1,abui1241-fuime,right_side,teikaŋ,teikaŋ,teikang,t e i k a ŋ,,schapper10
abui1241-fuime-dog-1,abui1241-fuime,dog,kai,kai,kai,k a i,,schapper10
abui1241-fuime-pig-1,abui1241-fuime,pig,fe,fe,fe,f e,,schapper10
abui1241-fuime-chicken-1,abui1241-fuime,chicken,ruo,ruo,ruo,r u o,,schapper10
abui1241-fuime-rat-1,abui1241-fuime,rat,rui,rui,rui,r u i,,schapper10
abui1241-fuime-lizard-1,abui1241-fuime,lizard,tekok,tekok,tekok,t e k o k,,schapper10
abui1241-fuime-civet_cat-1,abui1241-fuime,civet_cat,ajo,ajo,ayo,a j o,,schapper10
abui1241-fuime-deer-1,abui1241-fuime,deer,aijuti,aijuti,aiyuti,a i j u t i,,schapper10
abui1241-fuime-tail-1,abui1241-fuime,tail,ha-wai,ha+wai,ha-wai,h a + w a i,,schapper10
abui1241-fuime-fish-1,abui1241-fuime,fish,afu,afu,afu,a f u,,schapper10
abui1241-fuime-crocodile-1,abui1241-fuime,crocodile,fahai,fahai,fahai,f a h a i,,schapper10
abui1241-fuime-turtle-1,abui1241-fuime,turtle,jouko,jouko,youko,j o u k o,,schapper10
abui1241-fuime-bird-1,abui1241-fuime,bird,ruo,ruo,ruo,r u o,,schapper10
abui1241-fuime-wing-1,abui1241-fuime,wing,ha-bakai,ha+bakai,ha-bakai,h a + b a k a i,,schapper10
abui1241-fuime-horn-1,abui1241-fuime,horn,ha-muk,ha+muk,ha-muk,h a + m u k,,schapper10
abui1241-fuime-snake-1,abui1241-fuime,snake,mon,mon,mon,m o n,,schapper10
abui1241-fuime-scorpion-1,abui1241-fuime,scorpion,pei,pei,pei,p e i,,schapper10
abui1241-fuime-egg-1,abui1241-fuime,egg,bira,bira,bira,b i r a,,schapper10
abui1241-fuime-butterfly-1,abui1241-fuime,butterfly,kupak,kupak,kupak,k u p a k,,schapper10
abui1241-fuime-fly-1,abui1241-fuime,fly,fulfai,fulfai,fulfai,f u l f a i,,schapper10
abui1241-fuime-mosquito-1,abui1241-fuime,mosquito,kuima,kuima,kuima,k u i m a,,schapper10
abui1241-fuime-ant-1,abui1241-fuime,ant,fi:kai,fiːkai,fiikai,f iː k a i,,schapper10
abui1241-fuime-grasshopper-1,abui1241-fuime,grasshopper,tunui,tunui,tunui,t u n u i,,schapper10
abui1241-fuime-spider-1,abui1241-fuime,spider,bala-bala,bala+bala,bala-bala,b a l a + b a l a,,schapper10
abui1241-fuime-louse_in_hair-1,abui1241-fuime,louse_in_hair,bikeŋ,bikeŋ,bikeng,b i k e ŋ,,schapper10
abui1241-fuime-louse_eggs-1,abui1241-fuime,louse_eggs,bikeŋ tuluŋ,bikeŋ_tuluŋ,bikeng tulung,b i k e ŋ _ t u l u ŋ,,schapper10
abui1241-fuime-flea-1,abui1241-fuime,flea,kai nebikeŋ,kai_nebikeŋ,kai nebikeng,k a i _ n e b i k e ŋ,,schapper10
abui1241-fuime-louse_clothing-1,abui1241-fuime,louse_clothing,be,be,be,b e,,schapper10
abui1241-fuime-bedbug-1,abui1241-fuime,bedbug,ta:mek,taːmek,taamek,t aː m e k,,schapper10
abui1241-fuime-big-1,abui1241-fuime,big,foko,foko,foko,f o k o,,schapper10
abui1241-fuime-small-1,abui1241-fuime,small,kdiŋ,kdiŋ,kding,k d i ŋ,,schapper10
abui1241-fuime-old_worn_house-1,abui1241-fuime,old_worn_house,makila,makila,makila,m a k i l a,,schapper10
abui1241-fuime-new-1,abui1241-fuime,new,fija,fija,fiya,f i j a,,schapper10
abui1241-fuime-old_people-1,abui1241-fuime,old_people,kalejeita,kalejeita,kaleyeita,k a l e j e i t a,,schapper10
abui1241-fuime-young_people-1,abui1241-fuime,young_people,abeti,abeti,abeti,a b e t i,,schapper10
abui1241-fuime-lazy-1,abui1241-fuime,lazy,kiliki,kiliki,kiliki,k i l i k i,,schapper10
abui1241-fuime-lazy-2,abui1241-fuime,lazy,morai,morai,morai,m o r a i,,schapper10
abui1241-fuime-hot-1,abui1241-fuime,hot,lila,lila,lila,l i l a,,schapper10
abui1241-fuime-cold-1,abui1241-fuime,cold,palata,palata,palata,p a l a t a,,schapper10
abui1241-fuime-good-1,abui1241-fuime,good,kaŋ,kaŋ,kang,k a ŋ,,schapper10
abui1241-fuime-bad-1,abui1241-fuime,bad,beaka,beaka,beaka,b e a k a,,schapper10
abui1241-fuime-full-1,abui1241-fuime,full,we-midi,we+midi,we-midi,w e + m i d i,,schapper10
abui1241-fuime-empty-1,abui1241-fuime,empty,taka,taka,taka,t a k a,,schapper10
abui1241-fuime-wet-1,abui1241-fuime,wet,alina,alina,alina,a l i n a,,schapper10
abui1241-fuime-dry-1,abui1241-fuime,dry,takata,takata,takata,t a k a t a,,schapper10
abui1241-fuime-dry_in_sun-1,abui1241-fuime,dry_in_sun,waritek,waritek,waritek,w a r i t e k,,schapper10
abui1241-fuime-long-1,abui1241-fuime,long,lohu,lohu,lohu,l o h u,,schapper10
abui1241-fuime-tall-1,abui1241-fuime,tall,lohu,lohu,lohu,l o h u,,schapper10
abui1241-fuime-short-1,abui1241-fuime,short,bui,bui,bui,b u i,,schapper10
abui1241-fuime-thin-1,abui1241-fuime,thin,foli,foli,foli,f o l i,,schapper10
abui1241-fuime-thick-1,abui1241-fuime,thick,ta:pati,taːpati,taapati,t aː p a t i,,schapper10
abui1241-fuime-dark-1,abui1241-fuime,dark,akuni,akuni,akuni,a k u n i,,schapper10
abui1241-fuime-light_not_dark-1,abui1241-fuime,light_not_dark,falaka,falaka,falaka,f a l a k a,,schapper10
abui1241-fuime-dirty-1,abui1241-fuime,dirty,dakuŋ,dakuŋ,dakung,d a k u ŋ,,schapper10
abui1241-fuime-clean-1,abui1241-fuime,clean,sani,sani,sani,s a n i,,schapper10
abui1241-fuime-sharp-1,abui1241-fuime,sharp,bula,bula,bula,b u l a,,schapper10
abui1241-fuime-blunt-1,abui1241-fuime,blunt,topiŋ,topiŋ,toping,t o p i ŋ,,schapper10
abui1241-fuime-heavy-1,abui1241-fuime,heavy,tuhai,tuhai,tuhai,t u h a i,,schapper10
abui1241-fuime-light_weight-1,abui1241-fuime,light_weight,sierai,sierai,sierai,s i e r a i,,schapper10
abui1241-fuime-straight-1,abui1241-fuime,straight,mulaŋ,mulaŋ,mulang,m u l a ŋ,,schapper10
abui1241-fuime-wide-1,abui1241-fuime,wide,tilesiŋ,tilesiŋ,tilesing,t i l e s i ŋ,,schapper10
abui1241-fuime-narrow-1,abui1241-fuime,narrow,karie,karie,karie,k a r i e,,schapper10
abui1241-fuime-correct-1,abui1241-fuime,correct,rofi,rofi,rofi,r o f i,,schapper10
abui1241-fuime-wrong-1,abui1241-fuime,wrong,hasala,hasala,hasala,h a s a l a,,schapper10
abui1241-fuime-ripe-1,abui1241-fuime,ripe,we-mae:kiŋ,we+maeːkiŋ,we-maeeking,w e + m a eː k i ŋ,,schapper10
abui1241-fuime-rotten-1,abui1241-fuime,rotten,hamuni,hamuni,hamuni,h a m u n i,,schapper10
abui1241-fuime-bitter-1,abui1241-fuime,bitter,makali,makali,makali,m a k a l i,,schapper10
abui1241-fuime-sweet-1,abui1241-fuime,sweet,raloŋ,raloŋ,ralong,r a l o ŋ,,schapper10
abui1241-fuime-sour-1,abui1241-fuime,sour,alesiŋ,alesiŋ,alesing,a l e s i ŋ,,schapper10
abui1241-fuime-flat-1,abui1241-fuime,flat,fui,fui,fui,f u i,,schapper10
abui1241-fuime-smooth-1,abui1241-fuime,smooth,rula,rula,rula,r u l a,,schapper10
abui1241-fuime-rough-1,abui1241-fuime,rough,fikda,fikda,fikda,f i k d a,,schapper10
abui1241-fuime-black-1,abui1241-fuime,black,akani,akani,akani,a k a n i,,schapper10
abui1241-fuime-white-1,abui1241-fuime,white,kuli,kuli,kuli,k u l i,,schapper10
abui1241-fuime-red-1,abui1241-fuime,red,kika,kika,kika,k i k a,,schapper10
abui1241-fuime-green-1,abui1241-fuime,green,walaŋai,walaŋai,walangai,w a l a ŋ a i,,schapper10
abui1241-fuime-blue-1,abui1241-fuime,blue,walaŋai,walaŋai,walangai,w a l a ŋ a i,,schapper10
abui1241-fuime-yellow-1,abui1241-fuime,yellow,adesan,adesan,adesan,a d e s a n,,schapper10
abui1241-fuime-sick_painful-1,abui1241-fuime,sick_painful,na-rik,na+rik,na-rik,n a + r i k,,schapper10
abui1241-fuime-shy_ashamed-1,abui1241-fuime,shy_ashamed,na-mielai,na+mielai,na-mielai,n a + m i e l a i,,schapper10
abui1241-fuime-thirsty-1,abui1241-fuime,thirsty,takaite,takaite,takaite,t a k a i t e,,schapper10
abui1241-fuime-thirsty-2,abui1241-fuime,thirsty,neretda,neretda,neretda,n e r e t d a,,schapper10
abui1241-fuime-hungry-1,abui1241-fuime,hungry,mirai,mirai,mirai,m i r a i,,schapper10
abui1241-fuime-blind-1,abui1241-fuime,blind,akuta,akuta,akuta,a k u t a,,schapper10
abui1241-fuime-deaf-1,abui1241-fuime,deaf,tawei beaka,tawei_beaka,tawei beaka,t a w e i _ b e a k a,,schapper10
abui1241-fuime-scared-1,abui1241-fuime,scared,mielaŋ,mielaŋ,mielang,m i e l a ŋ,,schapper10
abui1241-fuime-angry-1,abui1241-fuime,angry,kawai,kawai,kawai,k a w a i,,schapper10
abui1241-fuime-to_see-1,abui1241-fuime,to_see,he-rei,he+rei,he-rei,h e + r e i,,schapper10
abui1241-fuime-to_hear-1,abui1241-fuime,to_hear,wefaliŋ,wefaliŋ,wefaling,w e f a l i ŋ,,schapper10
abui1241-fuime-to_smell-1,abui1241-fuime,to_smell,munuŋra,munuŋra,munungra,m u n u ŋ r a,,schapper10
abui1241-fuime-to_think-1,abui1241-fuime,to_think,ha-lakda,ha+lakda,ha-lakda,h a + l a k d a,,schapper10
abui1241-fuime-to_say-1,abui1241-fuime,to_say,taŋa,taŋa,tanga,t a ŋ a,,schapper10
abui1241-fuime-to_speak-1,abui1241-fuime,to_speak,taŋa,taŋa,tanga,t a ŋ a,,schapper10
abui1241-fuime-to_lie_down-1,abui1241-fuime,to_lie_down,ta,ta,ta,t a,,schapper10
abui1241-fuime-to_sleep-1,abui1241-fuime,to_sleep,ta,ta,ta,t a,,schapper10
abui1241-fuime-to_wake_up-1,abui1241-fuime,to_wake_up,taliele,taliele,taliele,t a l i e l e,,schapper10
abui1241-fuime-to_wake_someone_up-1,abui1241-fuime,to_wake_someone_up,aruda,aruda,aruda,a r u d a,,schapper10
